latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.620384,-116.430725,788.0,-21600,America/Denver,GMT-6

time,temperature_2m (°F),relative_humidity_2m (%),dew_point_2m (°F),cloud_cover (%),wind_speed_10m (mp/h),precipitation (inch)
2026-08-01T00:00,84.0,25,44.5,0,1.9,0.000
2026-08-01T01:00,82.0,23,40.9,0,3.4,0.000
2026-08-01T02:00,81.5,26,43.3,0,0.2,0.000
2026-08-01T03:00,78.2,29,43.6,0,2.6,0.000
2026-08-01T04:00,75.7,34,45.1,0,0.9,0.000
2026-08-01T05:00,73.8,36,45.4,0,0.5,0.000
2026-08-01T06:00,70.3,39,44.2,0,2.5,0.000
2026-08-01T07:00,69.1,43,45.4,0,2.4,0.000
2026-08-01T08:00,72.1,39,46.0,0,2.3,0.000
2026-08-01T09:00,78.7,30,44.7,13,1.4,0.000
2026-08-01T10:00,84.9,23,43.1,38,0.8,0.000
2026-08-01T11:00,89.7,19,41.5,29,3.4,0.000
2026-08-01T12:00,92.2,17,41.0,52,4.5,0.000
2026-08-01T13:00,95.4,15,40.6,70,4.5,0.000
2026-08-01T14:00,98.1,13,39.6,27,4.8,0.000
2026-08-01T15:00,100.1,12,38.3,41,5.6,0.000
2026-08-01T16:00,101.1,11,37.5,46,5.7,0.000
2026-08-01T17:00,101.3,11,37.4,47,6.8,0.000
2026-08-01T18:00,102.1,10,36.4,77,7.9,0.000
2026-08-01T19:00,101.8,10,35.3,59,8.3,0.000
2026-08-01T20:00,100.0,11,35.7,80,11.2,0.000
2026-08-01T21:00,95.9,12,35.6,42,12.5,0.000
2026-08-01T22:00,87.3,22,43.5,23,12.5,0.000
2026-08-01T23:00,83.0,25,43.1,23,12.7,0.000
2026-08-02T00:00,78.7,29,43.6,4,13.7,0.000
2026-08-02T01:00,75.7,33,44.9,2,12.1,0.000
2026-08-02T02:00,73.4,36,44.8,0,12.2,0.000
2026-08-02T03:00,70.5,39,44.6,0,11.2,0.000
2026-08-02T04:00,68.7,39,43.1,0,11.2,0.000
2026-08-02T05:00,67.0,36,39.2,0,11.1,0.000
2026-08-02T06:00,63.9,35,36.0,0,10.5,0.000
2026-08-02T07:00,62.8,38,36.5,0,9.4,0.000
2026-08-02T08:00,63.6,38,37.7,0,9.4,0.000
2026-08-02T09:00,65.8,34,37.0,0,9.3,0.000
2026-08-02T10:00,68.8,29,35.3,0,8.5,0.000
2026-08-02T11:00,72.5,24,33.4,0,8.2,0.000
2026-08-02T12:00,74.8,22,33.4,0,8.5,0.000
2026-08-02T13:00,78.5,17,29.9,0,8.9,0.000
2026-08-02T14:00,81.5,14,27.7,0,8.8,0.000
2026-08-02T15:00,83.9,12,25.4,0,8.3,0.000
2026-08-02T16:00,85.6,10,22.0,0,7.9,0.000
2026-08-02T17:00,86.6,8,17.7,0,8.3,0.000
2026-08-02T18:00,86.5,7,16.1,0,8.6,0.000
2026-08-02T19:00,85.6,7,14.2,0,9.0,0.000
2026-08-02T20:00,83.8,7,14.2,0,8.7,0.000
2026-08-02T21:00,79.5,10,17.4,0,5.3,0.000
2026-08-02T22:00,77.1,11,19.4,0,7.1,0.000
2026-08-02T23:00,75.9,18,29.6,0,14.0,0.000
2026-08-03T00:00,71.6,22,30.9,0,13.4,0.000
2026-08-03T01:00,69.1,24,31.0,0,12.8,0.000
2026-08-03T02:00,67.3,25,30.3,0,13.2,0.000
2026-08-03T03:00,65.5,25,29.0,0,12.3,0.000
2026-08-03T04:00,63.5,28,29.8,0,11.8,0.000
2026-08-03T05:00,62.2,30,30.6,0,11.2,0.000
2026-08-03T06:00,58.9,35,31.6,0,10.4,0.000
2026-08-03T07:00,58.5,37,32.2,0,9.9,0.000
2026-08-03T08:00,60.2,36,33.1,0,8.6,0.000
2026-08-03T09:00,63.4,33,33.7,0,10.1,0.000
2026-08-03T10:00,67.2,28,33.4,0,9.3,0.000
2026-08-03T11:00,71.1,25,33.0,0,8.5,0.000
2026-08-03T12:00,73.9,22,32.9,0,8.3,0.000
2026-08-03T13:00,77.4,18,30.3,0,8.3,0.000
2026-08-03T14:00,80.0,15,28.0,0,8.1,0.000
2026-08-03T15:00,82.0,12,25.1,0,7.8,0.000
2026-08-03T16:00,83.6,11,23.5,0,7.7,0.000
2026-08-03T17:00,84.4,10,23.0,0,7.8,0.000
2026-08-03T18:00,83.6,10,21.9,0,7.6,0.000
2026-08-03T19:00,83.0,10,21.2,0,7.5,0.000
2026-08-03T20:00,81.7,11,21.2,0,6.6,0.000
2026-08-03T21:00,77.3,13,22.9,0,4.2,0.000
2026-08-03T22:00,75.1,15,24.5,0,5.2,0.000
2026-08-03T23:00,73.1,17,26.1,0,6.0,0.000
2026-08-04T00:00,69.3,21,28.0,0,6.0,0.000
2026-08-04T01:00,68.8,24,31.0,0,6.9,0.000
2026-08-04T02:00,67.1,27,32.3,0,7.0,0.000
2026-08-04T03:00,65.3,29,32.5,0,7.4,0.000
2026-08-04T04:00,63.3,32,32.6,0,6.7,0.000
2026-08-04T05:00,61.5,34,33.0,0,5.5,0.000
2026-08-04T06:00,57.6,40,33.5,0,3.1,0.000
2026-08-04T07:00,56.8,44,35.0,0,2.1,0.000
2026-08-04T08:00,59.4,40,34.9,0,1.6,0.000
2026-08-04T09:00,62.9,35,35.1,0,1.0,0.000
2026-08-04T10:00,67.6,30,35.2,0,1.8,0.000
2026-08-04T11:00,72.6,25,34.3,0,3.0,0.000
2026-08-04T12:00,76.1,22,34.1,3,3.2,0.000
2026-08-04T13:00,80.7,17,32.4,2,3.9,0.000
2026-08-04T14:00,84.0,14,30.5,4,4.7,0.000
2026-08-04T15:00,86.4,13,28.9,5,4.7,0.000
2026-08-04T16:00,88.0,11,27.4,9,5.2,0.000
2026-08-04T17:00,88.8,10,26.0,12,5.3,0.000
2026-08-04T18:00,89.2,9,23.3,13,5.8,0.000
2026-08-04T19:00,88.5,9,21.3,1,5.8,0.000
2026-08-04T20:00,86.8,8,19.7,0,5.0,0.000
2026-08-04T21:00,81.2,10,19.5,22,4.3,0.000
2026-08-04T22:00,78.5,12,21.2,29,3.6,0.000
2026-08-04T23:00,77.5,14,24.1,62,1.3,0.000
2026-08-05T00:00,72.4,28,37.5,48,0.5,0.000
2026-08-05T01:00,70.8,22,30.2,44,0.2,0.000
2026-08-05T02:00,68.6,26,32.4,10,0.3,0.000
2026-08-05T03:00,66.0,29,32.8,2,1.2,0.000
2026-08-05T04:00,63.9,33,34.4,1,1.5,0.000
2026-08-05T05:00,61.9,35,34.1,0,1.5,0.000
2026-08-05T06:00,59.5,34,31.1,0,2.2,0.000
2026-08-05T07:00,59.4,32,29.8,0,2.8,0.000
