"specimen_id","measurement_date","age_days","vertical_height_in","leader_length_in","crown_width_in","stem_diameter_mm","health_status","measurement_notes","protocol_version"
"dr0-1",2026-09-11,18,3.25,4.5,3.5,2.455,"healthy","Specimen not leaning",1.3
"dr0-2",2026-09-11,17,3.5,4.75,3.375,1.825,"healthy","Specimen not leaning",1.3
"dr0-6",2026-09-13,1,1.625,2,0.875,1.225,"healthy","Specimen not leaning",1.3
"dr0-1",2026-09-23,30,4.375,5.75,5.375,2.80,"healthy","Specimen not leaning",1.3
"dr0-2",2026-09-24,30,4.875,5.25,3,2.08,"healthy","Specimen not leaning",1.3
